"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"922","Late Pleistocene","0.12600","0.01170","0","240","178","0","418","68","5562"
"923","Middle Pleistocene","0.78100","0.12600","25","7","17","215","163","30","677"
"740","Calabrian","1.80600","0.78100","185","34","112","37","367","60","3483"
"741","Gelasian","2.58800","1.80600","47","1","12","24","65","17","111"
"96","Piacenzian","3.60000","2.58800","10","3","3","15","17","13","57"
"97","Zanclean","5.33300","3.60000","2","11","11","16","26","19","85"
"98","Messinian","7.24600","5.33300","0","1","0","27","1","4","9"
"99","Tortonian","11.62000","7.24600","20","111","221","8","359","87","2727"
"100","Serravallian","13.82000","11.62000","58","61","109","61","271","82","2454"
"101","Langhian","15.97000","13.82000","82","70","180","40","366","90","3314"
"102","Burdigalian","20.44000","15.97000","97","66","147","13","322","80","1900"
"103","Aquitanian","23.03000","20.44000","45","40","103","34","208","49","819"
"104","Chattian","28.10000","23.03000","41","20","27","33","103","54","373"
"105","Rupelian","33.90000","28.10000","46","93","182","7","327","45","2555"
"106","Priabonian","38.00000","33.90000","87","38","177","13","315","49","1796"
"107","Bartonian","41.30000","38.00000","32","50","52","19","146","50","508"
"108","Lutetian","47.80000","41.30000","63","53","189","6","309","54","2120"
"109","Ypresian","56.00000","47.80000","56","56","447","3","562","54","11226"
"110","Thanetian","59.20000","56.00000","57","12","89","2","159","21","1405"
"743","Selandian","61.60000","59.20000","0","0","0","14","0","0","0"
"111","Danian","66.00000","61.60000","14","10","306","0","330","24","2140"
"112","Maastrichtian","72.10000","66.00000","10","0","70","0","80","14","1078"
